0	Ok... Let u noe when i leave my house.
0	"sorry
1	"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola
0	Do ü noe if ben is going?
0	"Yeah there's barely enough room for the two of us
0	K come to nordstrom when you're done
1	Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50
1	Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
0	I wont. So wat's wit the guys
1	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
0	"I'm tired of arguing with you about this week after week. Do what you want and from now on
1	"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame
1	RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
0	"I av a new number
0	I cant pick the phone right now. Pls send a message
1	83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541
0	Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
0	"Especially since i talk about boston all up in my personal statement
0	I dont thnk its a wrong calling between us
1	"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL
0	Are you not around or just still asleep? :V
0	Yay! You better not have told that to 5 other girls either.
1	Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
0	We'll join the  &lt;#&gt;  bus
1	U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
1	A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
1	Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
0	Did u got that persons story
0	Detroit. The home of snow. Enjoy it.
1	2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
0	S now only i took tablets . Reaction morning only.
0	Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks
1	CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
0	You still at grand prix?
1	TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...
1	Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
1	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
1	"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob
1	Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm
1	"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday
1	FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
1	PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
1	Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
0	"Yeah
1	Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
0	Okay... We wait ah
1	Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
1	Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
1	For sale - arsenal dartboard. Good condition but no doubles or trebles!
0	"Dear Sir
0	I tot u reach liao. He said t-shirt.
0	Oh really?? Did you make it on air? What's your talent?
1	Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
1	"Dear Voucher Holder
0	"Hiya 
1	"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
1	"Customer service announcement. We recently tried to make a delivery to you but were unable to do so
1	"Hi there
0	"The  &lt;#&gt; g that i saw a few days ago
1	U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
1	You have 1 new voicemail. Please call 08719181513.
1	Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
1	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
0	Thank u!
0	I finished my lunch already. U wake up already?
1	"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10
1	"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen
1	Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
1	Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
0	Ü give me some time to walk there.
0	No need for the drug anymore.
1	Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
0	Send me your id and password
0	"Oh really? perform
1	UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub
1	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
0	Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
0	"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter
0	Fuck cedar key and fuck her (come over anyway tho)
1	You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
1	Money i have won wining number 946 wot do i do next
1	We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
0	Ok lor.
1	URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893
0	Waiting for your call.
1	U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
1	This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
1	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
0	"Sorry
1	"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84
1	You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
0	Yup i'm elaborating on the safety aspects and some other issues..
0	Thank you princess! I want to see your nice juicy booty...
0	have you ever had one foot before?
0	2mro i am not coming to gym machan. Goodnight.
0	"K
0	i dnt wnt to tlk wid u
1	"Hi this is Amy
0	I dont know exactly could you ask chechi.
0	Send me yetty's number pls.
0	You unbelievable faglord
0	I'm on the bus. Love you
0	You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
0	Do you always celebrate NY's with your family ?
0	Dear got bus directly to calicut
1	U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
0	"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So
0	"I am in tirupur da
0	I can ask around but there's not a lot in terms of mids up here
0	"no
0	Huh y lei...
0	Mm not entirely sure i understood that text but hey. Ho. Which weekend?
1	Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
1	http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
0	PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
0	That's one of the issues but california is okay. No snow so its manageable
0	"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you
0	I can take you at like noon
0	Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
0	Sent me ur email id soon
0	Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.
0	In which place i can get rooms cheap:-)
1	Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
0	"Well am officially in a philosophical hole
1	"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123"
0	What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
0	"Gosh that 
1	"Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY
1	HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
1	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
1	Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
0	Boo what time u get out? U were supposed to take me shopping today. :(
0	"I just lov this line: ""Hurt me with the truth
0	I think u have the wrong number.
1	"Loan for any purpose £500 - £75
0	Tell them the drug dealer's getting impatient
1	Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
1	Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
